"","node","cluster"
"317","HORVU.MOREX.r2.6HG0490320",8
"318","HORVU.MOREX.r2.7HG0537870",13
"319","HORVU.MOREX.r2.4HG0337290",13
"320","HORVU.MOREX.r2.6HG0464080",8
"321","HORVU.MOREX.r2.5HG0415180",8
"322","HORVU.MOREX.r2.7HG0562070",13
"323","HORVU.MOREX.r2.7HG0595300",13
"324","HORVU.MOREX.r2.6HG0523490",8
"325","HORVU.MOREX.r2.5HG0447070",8
"326","HORVU.MOREX.r2.1HG0031510",8
"327","HORVU.MOREX.r2.7HG0570790",8
"328","HORVU.MOREX.r2.6HG0474390",13
"329","HORVU.MOREX.r2.2HG0167640",8
"330","HORVU.MOREX.r2.4HG0279770",13
"331","HORVU.MOREX.r2.2HG0079710",8
"332","HORVU.MOREX.r2.2HG0146120",8
"333","HORVU.MOREX.r2.4HG0308660",13
"334","HORVU.MOREX.r2.4HG0319150",13
"335","HORVU.MOREX.r2.1HG0012580",2
"336","HORVU.MOREX.r2.5HG0417590",8
"337","HORVU.MOREX.r2.7HG0565000",8
"338","HORVU.MOREX.r2.4HG0291070",2
"339","HORVU.MOREX.r2.1HG0006360",2
"340","HORVU.MOREX.r2.7HG0571570",8
"341","HORVU.MOREX.r2.4HG0288270",2
"342","HORVU.MOREX.r2.4HG0313800",2
"343","HORVU.MOREX.r2.3HG0247880",11
"344","HORVU.MOREX.r2.3HG0250850",2
"345","HORVU.MOREX.r2.4HG0340100",2
"346","HORVU.MOREX.r2.3HG0230390",2
"347","HORVU.MOREX.r2.3HG0201840",2
"348","HORVU.MOREX.r2.5HG0400680",11
"349","HORVU.MOREX.r2.2HG0128840",8
"350","HORVU.MOREX.r2.3HG0238260",2
"351","HORVU.MOREX.r2.4HG0335890",2
"352","HORVU.MOREX.r2.6HG0494000",15
"353","HORVU.MOREX.r2.2HG0113820",2
"354","HORVU.MOREX.r2.1HG0033960",2
"355","HORVU.MOREX.r2.3HG0240630",2
"356","HORVU.MOREX.r2.4HG0314920",11
"357","HORVU.MOREX.r2.7HG0570570",2
"358","HORVU.MOREX.r2.2HG0129220",2
"359","HORVU.MOREX.r2.3HG0235640",2
"360","HORVU.MOREX.r2.1HG0019750",2
"361","HORVU.MOREX.r2.2HG0171610",2
"362","HORVU.MOREX.r2.7HG0541840",2
"363","HORVU.MOREX.r2.2HG0144240",2
"364","HORVU.MOREX.r2.5HG0422910",2
"365","HORVU.MOREX.r2.4HG0284880",2
"366","HORVU.MOREX.r2.4HG0282240",2
"367","HORVU.MOREX.r2.5HG0349480",2
"368","HORVU.MOREX.r2.7HG0550580",2
"369","HORVU.MOREX.r2.1HG0006350",2
"370","HORVU.MOREX.r2.2HG0110340",2
"371","HORVU.MOREX.r2.5HG0373090",2
"372","HORVU.MOREX.r2.4HG0279270",2
"373","HORVU.MOREX.r2.2HG0155620",2
"374","HORVU.MOREX.r2.4HG0328620",15
"375","HORVU.MOREX.r2.4HG0296360",2
"376","HORVU.MOREX.r2.6HG0488950",2
"377","HORVU.MOREX.r2.6HG0513990",2
"378","HORVU.MOREX.r2.5HG0383680",2
"379","HORVU.MOREX.r2.1HG0071870",2
"380","HORVU.MOREX.r2.5HG0363830",2
"381","HORVU.MOREX.r2.6HG0454780",2
"382","HORVU.MOREX.r2.1HG0075930",2
"383","HORVU.MOREX.r2.4HG0311100",2
"384","HORVU.MOREX.r2.4HG0331210",8
"385","HORVU.MOREX.r2.1HG0073230",15
"386","HORVU.MOREX.r2.6HG0505220",2
"387","HORVU.MOREX.r2.7HG0552530",2
"388","HORVU.MOREX.r2.5HG0349390",2
"389","HORVU.MOREX.r2.3HG0229280",2
"390","HORVU.MOREX.r2.5HG0402830",2
"391","HORVU.MOREX.r2.3HG0204170",2
"392","HORVU.MOREX.r2.5HG0404030",2
"393","HORVU.MOREX.r2.3HG0257020",2
"394","HORVU.MOREX.r2.7HG0612760",2
"395","HORVU.MOREX.r2.3HG0202320",2
"396","HORVU.MOREX.r2.1HG0039950",2
"397","HORVU.MOREX.r2.2HG0143360",2
"398","HORVU.MOREX.r2.4HG0338270",2
"399","HORVU.MOREX.r2.7HG0561100",2
"400","HORVU.MOREX.r2.2HG0094420",2
"401","HORVU.MOREX.r2.6HG0499880",2
"402","HORVU.MOREX.r2.3HG0195950",2
"403","HORVU.MOREX.r2.1HG0024570",2
"404","HORVU.MOREX.r2.3HG0187470",15
"405","HORVU.MOREX.r2.1HG0060430",2
"406","HORVU.MOREX.r2.3HG0242970",2
"407","HORVU.MOREX.r2.5HG0406220",2
"408","HORVU.MOREX.r2.3HG0255840",2
"409","HORVU.MOREX.r2.5HG0413450",2
"410","HORVU.MOREX.r2.5HG0362130",2
"411","HORVU.MOREX.r2.6HG0453310",2
"412","HORVU.MOREX.r2.6HG0509780",2
"413","HORVU.MOREX.r2.7HG0595640",2
"414","HORVU.MOREX.r2.2HG0153170",2
"415","HORVU.MOREX.r2.5HG0424650",2
"416","HORVU.MOREX.r2.1HG0063950",2
"417","HORVU.MOREX.r2.1HG0033160",2
"418","HORVU.MOREX.r2.6HG0511490",2
"419","HORVU.MOREX.r2.4HG0340850",2
"420","HORVU.MOREX.r2.3HG0275020",2
"421","HORVU.MOREX.r2.5HG0443670",2
"422","HORVU.MOREX.r2.6HG0454570",2
"423","HORVU.MOREX.r2.6HG0496750",2
"424","HORVU.MOREX.r2.2HG0155670",8
"425","HORVU.MOREX.r2.6HG0491680",2
"426","HORVU.MOREX.r2.6HG0496790",2
"427","HORVU.MOREX.r2.5HG0425760",8
"428","HORVU.MOREX.r2.7HG0623430",2
"429","HORVU.MOREX.r2.2HG0143420",2
"430","HORVU.MOREX.r2.5HG0429770",15
"431","HORVU.MOREX.r2.3HG0194360",15
"432","HORVU.MOREX.r2.3HG0237390",2
"433","HORVU.MOREX.r2.5HG0398520",2
"434","HORVU.MOREX.r2.7HG0597090",2
"435","HORVU.MOREX.r2.2HG0079820",2
"436","HORVU.MOREX.r2.7HG0595850",8
"437","HORVU.MOREX.r2.4HG0281090",2
"438","HORVU.MOREX.r2.4HG0287800",2
"439","HORVU.MOREX.r2.4HG0341550",2
"440","HORVU.MOREX.r2.4HG0325280",8
"441","HORVU.MOREX.r2.4HG0292580",11
"442","HORVU.MOREX.r2.3HG0239700",2
"443","HORVU.MOREX.r2.3HG0241350",2
"444","HORVU.MOREX.r2.3HG0198600",8
"445","HORVU.MOREX.r2.4HG0278480",2
"446","HORVU.MOREX.r2.2HG0127090",2
"447","HORVU.MOREX.r2.7HG0584520",2
"448","HORVU.MOREX.r2.7HG0535330",2
"449","HORVU.MOREX.r2.7HG0535320",2
"450","HORVU.MOREX.r2.4HG0282910",2
"451","HORVU.MOREX.r2.5HG0426660",2
"452","HORVU.MOREX.r2.3HG0251360",2
"453","HORVU.MOREX.r2.4HG0278420",2
"454","HORVU.MOREX.r2.7HG0599740",2
"455","HORVU.MOREX.r2.1HG0066990",8
"456","HORVU.MOREX.r2.3HG0237170",8
"457","HORVU.MOREX.r2.6HG0526440",8
"458","HORVU.MOREX.r2.2HG0085780",8
"459","HORVU.MOREX.r2.7HG0538000",2
"460","HORVU.MOREX.r2.2HG0092760",8
"461","HORVU.MOREX.r2.5HG0446800",13
"462","HORVU.MOREX.r2.3HG0190930",8
"463","HORVU.MOREX.r2.7HG0616150",13
"464","HORVU.MOREX.r2.4HG0303230",11
"465","HORVU.MOREX.r2.7HG0547730",11
"466","HORVU.MOREX.r2.5HG0387370",2
"467","HORVU.MOREX.r2.5HG0399370",11
"468","HORVU.MOREX.r2.1HG0016720",11
"469","HORVU.MOREX.r2.6HG0483840",11
"470","HORVU.MOREX.r2.2HG0094680",11
"471","HORVU.MOREX.r2.5HG0356360",11
"472","HORVU.MOREX.r2.4HG0344150",2
"473","HORVU.MOREX.r2.7HG0612230",2
"474","HORVU.MOREX.r2.5HG0399400",11
"475","HORVU.MOREX.r2.5HG0399360",11
"476","HORVU.MOREX.r2.4HG0277180",2
"477","HORVU.MOREX.r2.5HG0399410",11
"478","HORVU.MOREX.r2.7HG0547940",11
"479","HORVU.MOREX.r2.5HG0399420",11
"480","HORVU.MOREX.r2.7HG0587840",11
"481","HORVU.MOREX.r2.5HG0399310",11
"482","HORVU.MOREX.r2.5HG0399300",11
"483","HORVU.MOREX.r2.5HG0431740",11
"484","HORVU.MOREX.r2.3HG0258050",15
"485","HORVU.MOREX.r2.6HG0516450",11
"486","HORVU.MOREX.r2.5HG0398650",11
"487","HORVU.MOREX.r2.2HG0145860",2
"488","HORVU.MOREX.r2.6HG0516400",11
"489","HORVU.MOREX.r2.7HG0583780",2
"490","HORVU.MOREX.r2.7HG0604110",15
"491","HORVU.MOREX.r2.6HG0448620",15
"492","HORVU.MOREX.r2.2HG0126990",15
"493","HORVU.MOREX.r2.5HG0349900",15
"494","HORVU.MOREX.r2.3HG0246390",15
"495","HORVU.MOREX.r2.1HG0078580",15
"496","HORVU.MOREX.r2.3HG0258570",15
"497","HORVU.MOREX.r2.7HG0618940",15
"498","HORVU.MOREX.r2.5HG0392950",15
"499","HORVU.MOREX.r2.6HG0475440",15
"500","HORVU.MOREX.r2.1HG0049050",8
"501","HORVU.MOREX.r2.5HG0426920",15
"502","HORVU.MOREX.r2.4HG0286970",15
"503","HORVU.MOREX.r2.5HG0393010",15
"504","HORVU.MOREX.r2.3HG0246490",15
"505","HORVU.MOREX.r2.4HG0342250",15
"506","HORVU.MOREX.r2.7HG0607290",8
"507","HORVU.MOREX.r2.1HG0052870",15
"508","HORVU.MOREX.r2.7HG0535460",15
"509","HORVU.MOREX.r2.7HG0584970",8
"510","HORVU.MOREX.r2.1HG0001980",8
"511","HORVU.MOREX.r2.3HG0232920",8
"512","HORVU.MOREX.r2.7HG0552250",2
"513","HORVU.MOREX.r2.1HG0051000",2
"514","HORVU.MOREX.r2.2HG0134900",2
"515","HORVU.MOREX.r2.1HG0069340",8
"516","HORVU.MOREX.r2.1HG0051410",2
"517","HORVU.MOREX.r2.6HG0509610",2
"518","HORVU.MOREX.r2.3HG0194870",22
"519","HORVU.MOREX.r2.3HG0204200",23
"520","HORVU.MOREX.r2.2HG0082260",24
"521","HORVU.MOREX.r2.4HG0295090",25
"522","HORVU.MOREX.r2.1HG0053940",15
"523","HORVU.MOREX.r2.4HG0280190",15
"524","HORVU.MOREX.r2.4HG0344570",15
"525","HORVU.MOREX.r2.4HG0339940",15
"526","HORVU.MOREX.r2.2HG0091570",15
"527","HORVU.MOREX.r2.6HG0496560",15
"528","HORVU.MOREX.r2.1HG0076620",15
"529","HORVU.MOREX.r2.5HG0414770",15
"530","HORVU.MOREX.r2.6HG0499320",15
"531","HORVU.MOREX.r2.5HG0423560",15
"532","HORVU.MOREX.r2.2HG0156840",15
"533","HORVU.MOREX.r2.5HG0423360",15
"534","HORVU.MOREX.r2.1HG0075170",11
"535","HORVU.MOREX.r2.4HG0344600",15
"536","HORVU.MOREX.r2.7HG0558250",11
"537","HORVU.MOREX.r2.5HG0407660",15
"538","HORVU.MOREX.r2.6HG0522140",15
"539","HORVU.MOREX.r2.1HG0011260",15
"540","HORVU.MOREX.r2.7HG0604750",15
"541","HORVU.MOREX.r2.6HG0522170",15
"542","HORVU.MOREX.r2.3HG0249370",15
"543","HORVU.MOREX.r2.6HG0523590",15
"544","HORVU.MOREX.r2.6HG0515900",15
"545","HORVU.MOREX.r2.7HG0621810",15
"546","HORVU.MOREX.r2.UnG0631470",15
"547","HORVU.MOREX.r2.7HG0580380",15
"548","HORVU.MOREX.r2.6HG0498140",11
"549","HORVU.MOREX.r2.5HG0400090",15
"550","HORVU.MOREX.r2.3HG0270990",15
"551","HORVU.MOREX.r2.1HG0061230",15
"552","HORVU.MOREX.r2.3HG0269880",15
"553","HORVU.MOREX.r2.6HG0489200",15
"554","HORVU.MOREX.r2.2HG0107810",15
"555","HORVU.MOREX.r2.7HG0613640",15
"556","HORVU.MOREX.r2.4HG0321150",15
"557","HORVU.MOREX.r2.4HG0339290",15
"558","HORVU.MOREX.r2.2HG0116210",15
