"X","gene","timepoint"
185,"HORVU.MOREX.r2.3HG0199790","32H"
186,"HORVU.MOREX.r2.4HG0281420","32H"
187,"HORVU.MOREX.r2.4HG0315750","32H"
188,"HORVU.MOREX.r2.6HG0488890","32H"
189,"HORVU.MOREX.r2.6HG0471470","32H"
190,"HORVU.MOREX.r2.2HG0137080","32H"
191,"HORVU.MOREX.r2.7HG0553870","32H"
192,"HORVU.MOREX.r2.3HG0244870","32H"
193,"HORVU.MOREX.r2.4HG0323430","32H"
194,"HORVU.MOREX.r2.3HG0195220","32H"
195,"HORVU.MOREX.r2.5HG0406790","32H"
196,"HORVU.MOREX.r2.2HG0101560","32H"
197,"HORVU.MOREX.r2.3HG0254850","32H"
198,"HORVU.MOREX.r2.7HG0550010","32H"
199,"HORVU.MOREX.r2.2HG0171610","32H"
200,"HORVU.MOREX.r2.7HG0587150","32H"
201,"HORVU.MOREX.r2.2HG0082640","32H"
202,"HORVU.MOREX.r2.3HG0216590","32H"
203,"HORVU.MOREX.r2.6HG0526820","32H"
204,"HORVU.MOREX.r2.3HG0229830","32H"
205,"HORVU.MOREX.r2.7HG0544860","32H"
206,"HORVU.MOREX.r2.UnG0625830","32H"
207,"HORVU.MOREX.r2.3HG0255590","32H"
208,"HORVU.MOREX.r2.4HG0334350","32H"
209,"HORVU.MOREX.r2.5HG0379030","32H"
210,"HORVU.MOREX.r2.2HG0113220","32H"
211,"HORVU.MOREX.r2.3HG0242390","32H"
212,"HORVU.MOREX.r2.1HG0076490","32H"
213,"HORVU.MOREX.r2.3HG0199050","32H"
214,"HORVU.MOREX.r2.3HG0274770","32H"
215,"HORVU.MOREX.r2.2HG0123120","32H"
216,"HORVU.MOREX.r2.7HG0548890","32H"
217,"HORVU.MOREX.r2.1HG0061480","32H"
218,"HORVU.MOREX.r2.6HG0503470","32H"
219,"HORVU.MOREX.r2.3HG0259190","32H"
220,"HORVU.MOREX.r2.2HG0164520","32H"
221,"HORVU.MOREX.r2.5HG0435830","32H"
222,"HORVU.MOREX.r2.3HG0237240","32H"
223,"HORVU.MOREX.r2.6HG0525140","32H"
224,"HORVU.MOREX.r2.7HG0535520","32H"
225,"HORVU.MOREX.r2.7HG0612090","32H"
226,"HORVU.MOREX.r2.4HG0283770","32H"
227,"HORVU.MOREX.r2.4HG0335790","32H"
228,"HORVU.MOREX.r2.1HG0060510","32H"
229,"HORVU.MOREX.r2.5HG0393320","32H"
230,"HORVU.MOREX.r2.3HG0257800","32H"
231,"HORVU.MOREX.r2.5HG0426300","32H"
232,"HORVU.MOREX.r2.3HG0245680","32H"
233,"HORVU.MOREX.r2.3HG0270520","32H"
234,"HORVU.MOREX.r2.7HG0610100","32H"
235,"HORVU.MOREX.r2.7HG0528770","32H"
236,"HORVU.MOREX.r2.2HG0128880","32H"
237,"HORVU.MOREX.r2.3HG0248190","32H"
238,"HORVU.MOREX.r2.2HG0166780","32H"
239,"HORVU.MOREX.r2.7HG0552650","32H"
240,"HORVU.MOREX.r2.2HG0130220","32H"
241,"HORVU.MOREX.r2.6HG0462880","32H"
242,"HORVU.MOREX.r2.3HG0243490","32H"
243,"HORVU.MOREX.r2.6HG0491300","32H"
244,"HORVU.MOREX.r2.4HG0333650","32H"
245,"HORVU.MOREX.r2.1HG0062600","32H"
246,"HORVU.MOREX.r2.2HG0106180","32H"
247,"HORVU.MOREX.r2.5HG0384960","32H"
248,"HORVU.MOREX.r2.1HG0059580","32H"
249,"HORVU.MOREX.r2.2HG0080550","32H"
250,"HORVU.MOREX.r2.7HG0578790","32H"
251,"HORVU.MOREX.r2.5HG0368080","32H"
252,"HORVU.MOREX.r2.1HG0066670","32H"
253,"HORVU.MOREX.r2.4HG0326260","32H"
254,"HORVU.MOREX.r2.5HG0424810","32H"
255,"HORVU.MOREX.r2.5HG0400930","32H"
256,"HORVU.MOREX.r2.1HG0061230","32H"
257,"HORVU.MOREX.r2.3HG0250360","32H"
258,"HORVU.MOREX.r2.4HG0279910","32H"
259,"HORVU.MOREX.r2.5HG0354850","32H"
260,"HORVU.MOREX.r2.3HG0249500","32H"
261,"HORVU.MOREX.r2.3HG0228200","32H"
262,"HORVU.MOREX.r2.6HG0496900","32H"
263,"HORVU.MOREX.r2.1HG0057280","32H"
264,"HORVU.MOREX.r2.6HG0506610","32H"
265,"HORVU.MOREX.r2.5HG0383780","32H"
266,"HORVU.MOREX.r2.7HG0555720","32H"
267,"HORVU.MOREX.r2.2HG0136120","32H"
268,"HORVU.MOREX.r2.2HG0174540","32H"
269,"HORVU.MOREX.r2.6HG0489540","32H"
270,"HORVU.MOREX.r2.3HG0211850","32H"
271,"HORVU.MOREX.r2.1HG0023550","32H"
272,"HORVU.MOREX.r2.6HG0499320","32H"
273,"HORVU.MOREX.r2.5HG0433110","32H"
274,"HORVU.MOREX.r2.7HG0556360","32H"
275,"HORVU.MOREX.r2.3HG0249800","32H"
276,"HORVU.MOREX.r2.2HG0110020","32H"
277,"HORVU.MOREX.r2.2HG0079830","32H"
278,"HORVU.MOREX.r2.1HG0016580","32H"
279,"HORVU.MOREX.r2.3HG0263380","32H"
280,"HORVU.MOREX.r2.3HG0272620","32H"
281,"HORVU.MOREX.r2.3HG0233340","32H"
282,"HORVU.MOREX.r2.4HG0288200","32H"
283,"HORVU.MOREX.r2.4HG0278810","32H"
284,"HORVU.MOREX.r2.6HG0476340","32H"
285,"HORVU.MOREX.r2.5HG0354360","32H"
286,"HORVU.MOREX.r2.5HG0431420","32H"
287,"HORVU.MOREX.r2.4HG0329070","32H"
288,"HORVU.MOREX.r2.4HG0312620","32H"
289,"HORVU.MOREX.r2.5HG0412380","32H"
290,"HORVU.MOREX.r2.6HG0470590","32H"
291,"HORVU.MOREX.r2.5HG0387220","32H"
292,"HORVU.MOREX.r2.2HG0172410","32H"
293,"HORVU.MOREX.r2.1HG0016480","32H"
294,"HORVU.MOREX.r2.4HG0290500","32H"
295,"HORVU.MOREX.r2.1HG0020300","32H"
296,"HORVU.MOREX.r2.5HG0403270","32H"
297,"HORVU.MOREX.r2.6HG0450190","32H"
298,"HORVU.MOREX.r2.3HG0186500","32H"
299,"HORVU.MOREX.r2.4HG0282100","32H"
300,"HORVU.MOREX.r2.4HG0338750","32H"
301,"HORVU.MOREX.r2.6HG0519460","32H"
302,"HORVU.MOREX.r2.6HG0499530","32H"
303,"HORVU.MOREX.r2.1HG0051720","32H"
304,"HORVU.MOREX.r2.1HG0051770","32H"
305,"HORVU.MOREX.r2.6HG0476870","32H"
306,"HORVU.MOREX.r2.1HG0059240","32H"
307,"HORVU.MOREX.r2.6HG0498710","32H"
308,"HORVU.MOREX.r2.6HG0498830","32H"
309,"HORVU.MOREX.r2.6HG0498790","32H"
