"X","gene","timepoint"
1031,"HORVU.MOREX.r2.6HG0500500","32H"
1032,"HORVU.MOREX.r2.3HG0254300","32H"
1033,"HORVU.MOREX.r2.3HG0191760","32H"
1034,"HORVU.MOREX.r2.3HG0198350","32H"
1035,"HORVU.MOREX.r2.1HG0061390","32H"
1036,"HORVU.MOREX.r2.6HG0495440","32H"
1037,"HORVU.MOREX.r2.5HG0391600","32H"
1038,"HORVU.MOREX.r2.7HG0528780","32H"
1039,"HORVU.MOREX.r2.5HG0431680","32H"
1040,"HORVU.MOREX.r2.5HG0431670","32H"
1041,"HORVU.MOREX.r2.5HG0431630","32H"
1042,"HORVU.MOREX.r2.5HG0431640","32H"
1043,"HORVU.MOREX.r2.6HG0462500","32H"
1044,"HORVU.MOREX.r2.1HG0039140","32H"
1045,"HORVU.MOREX.r2.5HG0360110","32H"
1046,"HORVU.MOREX.r2.5HG0423400","32H"
1047,"HORVU.MOREX.r2.6HG0504070","32H"
1048,"HORVU.MOREX.r2.5HG0409700","32H"
1049,"HORVU.MOREX.r2.1HG0044990","32H"
1050,"HORVU.MOREX.r2.2HG0135180","32H"
1051,"HORVU.MOREX.r2.2HG0173110","32H"
1052,"HORVU.MOREX.r2.2HG0173100","32H"
1053,"HORVU.MOREX.r2.2HG0113300","32H"
1054,"HORVU.MOREX.r2.6HG0484190","32H"
1055,"HORVU.MOREX.r2.6HG0477390","32H"
1056,"HORVU.MOREX.r2.1HG0066320","32H"
1057,"HORVU.MOREX.r2.6HG0494260","32H"
1058,"HORVU.MOREX.r2.6HG0493950","32H"
1059,"HORVU.MOREX.r2.1HG0076450","32H"
1060,"HORVU.MOREX.r2.2HG0173210","32H"
1061,"HORVU.MOREX.r2.6HG0502750","32H"
1062,"HORVU.MOREX.r2.6HG0502680","32H"
1063,"HORVU.MOREX.r2.1HG0070730","32H"
1064,"HORVU.MOREX.r2.3HG0256960","32H"
1065,"HORVU.MOREX.r2.7HG0559720","32H"
1066,"HORVU.MOREX.r2.4HG0335550","32H"
1067,"HORVU.MOREX.r2.4HG0320280","32H"
1068,"HORVU.MOREX.r2.3HG0272180","32H"
1069,"HORVU.MOREX.r2.3HG0272550","32H"
1070,"HORVU.MOREX.r2.5HG0380250","32H"
1071,"HORVU.MOREX.r2.7HG0611910","32H"
1072,"HORVU.MOREX.r2.2HG0081780","32H"
1073,"HORVU.MOREX.r2.4HG0297860","32H"
1074,"HORVU.MOREX.r2.7HG0554840","32H"
1075,"HORVU.MOREX.r2.3HG0273140","32H"
1076,"HORVU.MOREX.r2.3HG0241170","32H"
1077,"HORVU.MOREX.r2.3HG0241160","32H"
1078,"HORVU.MOREX.r2.3HG0236080","32H"
1079,"HORVU.MOREX.r2.1HG0019110","32H"
1080,"HORVU.MOREX.r2.5HG0414870","32H"
1081,"HORVU.MOREX.r2.1HG0046650","32H"
1082,"HORVU.MOREX.r2.3HG0274980","32H"
1083,"HORVU.MOREX.r2.7HG0553030","32H"
1084,"HORVU.MOREX.r2.4HG0280940","32H"
1085,"HORVU.MOREX.r2.4HG0284240","32H"
1086,"HORVU.MOREX.r2.3HG0233680","32H"
1087,"HORVU.MOREX.r2.5HG0393070","32H"
1088,"HORVU.MOREX.r2.3HG0205890","32H"
1089,"HORVU.MOREX.r2.7HG0531000","32H"
1090,"HORVU.MOREX.r2.2HG0151330","32H"
1091,"HORVU.MOREX.r2.6HG0479930","32H"
1092,"HORVU.MOREX.r2.1HG0041450","32H"
1093,"HORVU.MOREX.r2.1HG0019100","32H"
1094,"HORVU.MOREX.r2.4HG0319570","32H"
1095,"HORVU.MOREX.r2.5HG0438940","32H"
1096,"HORVU.MOREX.r2.6HG0490180","32H"
1097,"HORVU.MOREX.r2.3HG0194060","32H"
1098,"HORVU.MOREX.r2.2HG0147880","32H"
1099,"HORVU.MOREX.r2.2HG0147700","32H"
1100,"HORVU.MOREX.r2.4HG0280050","32H"
1101,"HORVU.MOREX.r2.5HG0441500","32H"
1102,"HORVU.MOREX.r2.6HG0502550","32H"
1103,"HORVU.MOREX.r2.6HG0452760","32H"
1104,"HORVU.MOREX.r2.7HG0610110","32H"
1105,"HORVU.MOREX.r2.6HG0513110","32H"
1106,"HORVU.MOREX.r2.1HG0017390","32H"
1107,"HORVU.MOREX.r2.2HG0104900","32H"
1108,"HORVU.MOREX.r2.6HG0458410","32H"
1109,"HORVU.MOREX.r2.3HG0186560","32H"
1110,"HORVU.MOREX.r2.2HG0091710","32H"
1111,"HORVU.MOREX.r2.5HG0410380","32H"
1112,"HORVU.MOREX.r2.7HG0604570","32H"
1113,"HORVU.MOREX.r2.4HG0295820","32H"
1114,"HORVU.MOREX.r2.5HG0410760","32H"
1115,"HORVU.MOREX.r2.5HG0410690","32H"
1116,"HORVU.MOREX.r2.1HG0036700","32H"
1117,"HORVU.MOREX.r2.3HG0220570","32H"
1118,"HORVU.MOREX.r2.3HG0201670","32H"
1119,"HORVU.MOREX.r2.5HG0352020","32H"
1120,"HORVU.MOREX.r2.5HG0352030","32H"
1121,"HORVU.MOREX.r2.4HG0344720","32H"
1122,"HORVU.MOREX.r2.1HG0022960","32H"
1123,"HORVU.MOREX.r2.7HG0597810","32H"
1124,"HORVU.MOREX.r2.1HG0030890","32H"
1125,"HORVU.MOREX.r2.5HG0415180","32H"
1126,"HORVU.MOREX.r2.6HG0499820","32H"
1127,"HORVU.MOREX.r2.5HG0393300","32H"
1128,"HORVU.MOREX.r2.1HG0023430","32H"
1129,"HORVU.MOREX.r2.6HG0496300","32H"
1130,"HORVU.MOREX.r2.6HG0513710","32H"
1131,"HORVU.MOREX.r2.1HG0071970","32H"
1132,"HORVU.MOREX.r2.3HG0231410","32H"
1133,"HORVU.MOREX.r2.1HG0048100","32H"
1134,"HORVU.MOREX.r2.2HG0096210","32H"
1135,"HORVU.MOREX.r2.5HG0398150","32H"
1136,"HORVU.MOREX.r2.3HG0258670","32H"
1137,"HORVU.MOREX.r2.5HG0426930","32H"
1138,"HORVU.MOREX.r2.5HG0367270","32H"
1139,"HORVU.MOREX.r2.7HG0572000","32H"
1140,"HORVU.MOREX.r2.3HG0250010","32H"
1141,"HORVU.MOREX.r2.2HG0155580","32H"
1142,"HORVU.MOREX.r2.3HG0222280","32H"
1143,"HORVU.MOREX.r2.1HG0043210","32H"
1144,"HORVU.MOREX.r2.5HG0377470","32H"
1145,"HORVU.MOREX.r2.7HG0545590","32H"
1146,"HORVU.MOREX.r2.6HG0517280","32H"
1147,"HORVU.MOREX.r2.2HG0174570","32H"
1148,"HORVU.MOREX.r2.7HG0542080","32H"
1149,"HORVU.MOREX.r2.4HG0279480","32H"
1150,"HORVU.MOREX.r2.3HG0200700","32H"
1151,"HORVU.MOREX.r2.2HG0100050","32H"
1152,"HORVU.MOREX.r2.2HG0134510","32H"
1153,"HORVU.MOREX.r2.2HG0139900","32H"
1154,"HORVU.MOREX.r2.4HG0328610","32H"
1155,"HORVU.MOREX.r2.3HG0229480","32H"
1156,"HORVU.MOREX.r2.2HG0098530","32H"
1157,"HORVU.MOREX.r2.3HG0207090","32H"
1158,"HORVU.MOREX.r2.5HG0442600","32H"
1159,"HORVU.MOREX.r2.7HG0527390","32H"
1160,"HORVU.MOREX.r2.7HG0543790","32H"
1161,"HORVU.MOREX.r2.4HG0349180","32H"
1162,"HORVU.MOREX.r2.4HG0349170","32H"
1163,"HORVU.MOREX.r2.UnG0628310","32H"
1164,"HORVU.MOREX.r2.7HG0607430","32H"
1165,"HORVU.MOREX.r2.7HG0601860","32H"
1166,"HORVU.MOREX.r2.3HG0251930","32H"
1167,"HORVU.MOREX.r2.7HG0596060","32H"
1168,"HORVU.MOREX.r2.5HG0438560","32H"
1169,"HORVU.MOREX.r2.5HG0374210","32H"
1170,"HORVU.MOREX.r2.2HG0142550","32H"
1171,"HORVU.MOREX.r2.2HG0142080","32H"
1172,"HORVU.MOREX.r2.3HG0201090","32H"
1173,"HORVU.MOREX.r2.2HG0102180","32H"
1174,"HORVU.MOREX.r2.4HG0333890","32H"
1175,"HORVU.MOREX.r2.2HG0113860","32H"
1176,"HORVU.MOREX.r2.3HG0206810","32H"
1177,"HORVU.MOREX.r2.6HG0475730","32H"
1178,"HORVU.MOREX.r2.5HG0436080","32H"
1179,"HORVU.MOREX.r2.5HG0391760","32H"
1180,"HORVU.MOREX.r2.7HG0567930","32H"
1181,"HORVU.MOREX.r2.5HG0411360","32H"
1182,"HORVU.MOREX.r2.7HG0541070","32H"
1183,"HORVU.MOREX.r2.3HG0231680","32H"
1184,"HORVU.MOREX.r2.7HG0568550","32H"
1185,"HORVU.MOREX.r2.3HG0206170","32H"
1186,"HORVU.MOREX.r2.2HG0146170","32H"
1187,"HORVU.MOREX.r2.1HG0014200","32H"
1188,"HORVU.MOREX.r2.5HG0385350","32H"
1189,"HORVU.MOREX.r2.6HG0508760","32H"
1190,"HORVU.MOREX.r2.4HG0340370","32H"
1191,"HORVU.MOREX.r2.4HG0318120","32H"
1192,"HORVU.MOREX.r2.4HG0328790","32H"
1193,"HORVU.MOREX.r2.1HG0066370","32H"
1194,"HORVU.MOREX.r2.3HG0192480","32H"
1195,"HORVU.MOREX.r2.2HG0101000","32H"
1196,"HORVU.MOREX.r2.2HG0101040","32H"
1197,"HORVU.MOREX.r2.1HG0003340","32H"
1198,"HORVU.MOREX.r2.1HG0023540","32H"
1199,"HORVU.MOREX.r2.6HG0511650","32H"
1200,"HORVU.MOREX.r2.3HG0257710","32H"
1201,"HORVU.MOREX.r2.3HG0212270","32H"
1202,"HORVU.MOREX.r2.5HG0388550","32H"
1203,"HORVU.MOREX.r2.4HG0346140","32H"
1204,"HORVU.MOREX.r2.3HG0247750","32H"
1205,"HORVU.MOREX.r2.5HG0397220","32H"
1206,"HORVU.MOREX.r2.1HG0059290","32H"
1207,"HORVU.MOREX.r2.4HG0319810","32H"
1208,"HORVU.MOREX.r2.6HG0519320","32H"
1209,"HORVU.MOREX.r2.7HG0598590","32H"
1210,"HORVU.MOREX.r2.5HG0427220","32H"
1211,"HORVU.MOREX.r2.3HG0196390","32H"
1212,"HORVU.MOREX.r2.4HG0345920","32H"
1213,"HORVU.MOREX.r2.3HG0243520","32H"
1214,"HORVU.MOREX.r2.6HG0466830","32H"
1215,"HORVU.MOREX.r2.7HG0592250","32H"
1216,"HORVU.MOREX.r2.7HG0602370","32H"
1217,"HORVU.MOREX.r2.5HG0400860","32H"
1218,"HORVU.MOREX.r2.1HG0050740","32H"
1219,"HORVU.MOREX.r2.1HG0036100","32H"
1220,"HORVU.MOREX.r2.4HG0333190","32H"
1221,"HORVU.MOREX.r2.5HG0393460","32H"
1222,"HORVU.MOREX.r2.7HG0598630","32H"
1223,"HORVU.MOREX.r2.1HG0067490","32H"
1224,"HORVU.MOREX.r2.2HG0133160","32H"
1225,"HORVU.MOREX.r2.3HG0265650","32H"
1226,"HORVU.MOREX.r2.1HG0070320","32H"
1227,"HORVU.MOREX.r2.7HG0558720","32H"
1228,"HORVU.MOREX.r2.5HG0426190","32H"
1229,"HORVU.MOREX.r2.4HG0277890","32H"
1230,"HORVU.MOREX.r2.3HG0247980","32H"
1231,"HORVU.MOREX.r2.7HG0607170","32H"
1232,"HORVU.MOREX.r2.1HG0044330","32H"
1233,"HORVU.MOREX.r2.2HG0102100","32H"
1234,"HORVU.MOREX.r2.1HG0075070","32H"
1235,"HORVU.MOREX.r2.6HG0473830","32H"
1236,"HORVU.MOREX.r2.2HG0103320","32H"
1237,"HORVU.MOREX.r2.2HG0136670","32H"
1238,"HORVU.MOREX.r2.5HG0391750","32H"
1239,"HORVU.MOREX.r2.3HG0259040","32H"
1240,"HORVU.MOREX.r2.2HG0090620","32H"
1241,"HORVU.MOREX.r2.5HG0366520","32H"
1242,"HORVU.MOREX.r2.3HG0251520","32H"
1243,"HORVU.MOREX.r2.7HG0617860","32H"
1244,"HORVU.MOREX.r2.3HG0237260","32H"
1245,"HORVU.MOREX.r2.2HG0108030","32H"
1246,"HORVU.MOREX.r2.2HG0131690","32H"
1247,"HORVU.MOREX.r2.1HG0047070","32H"
1248,"HORVU.MOREX.r2.6HG0515700","32H"
1249,"HORVU.MOREX.r2.7HG0579870","32H"
1250,"HORVU.MOREX.r2.5HG0441070","32H"
1251,"HORVU.MOREX.r2.7HG0582550","32H"
1252,"HORVU.MOREX.r2.5HG0447330","32H"
1253,"HORVU.MOREX.r2.1HG0034980","32H"
1254,"HORVU.MOREX.r2.5HG0444620","32H"
1255,"HORVU.MOREX.r2.7HG0589500","32H"
1256,"HORVU.MOREX.r2.7HG0560380","32H"
1257,"HORVU.MOREX.r2.5HG0352010","32H"
1258,"HORVU.MOREX.r2.6HG0506400","32H"
1259,"HORVU.MOREX.r2.7HG0618210","32H"
1260,"HORVU.MOREX.r2.4HG0327430","32H"
1261,"HORVU.MOREX.r2.3HG0233950","32H"
1262,"HORVU.MOREX.r2.7HG0577620","32H"
1263,"HORVU.MOREX.r2.7HG0538900","32H"
1264,"HORVU.MOREX.r2.3HG0261040","32H"
1265,"HORVU.MOREX.r2.UnG0626650","32H"
1266,"HORVU.MOREX.r2.2HG0094830","32H"
1267,"HORVU.MOREX.r2.3HG0260630","32H"
1268,"HORVU.MOREX.r2.2HG0116600","32H"
1269,"HORVU.MOREX.r2.1HG0052330","32H"
1270,"HORVU.MOREX.r2.2HG0176420","32H"
1271,"HORVU.MOREX.r2.7HG0587860","32H"
1272,"HORVU.MOREX.r2.2HG0160040","32H"
1273,"HORVU.MOREX.r2.1HG0051280","32H"
1274,"HORVU.MOREX.r2.2HG0139700","32H"
1275,"HORVU.MOREX.r2.1HG0020650","32H"
1276,"HORVU.MOREX.r2.1HG0065080","32H"
1277,"HORVU.MOREX.r2.3HG0254340","32H"
1278,"HORVU.MOREX.r2.3HG0254350","32H"
1279,"HORVU.MOREX.r2.2HG0079930","32H"
1280,"HORVU.MOREX.r2.7HG0551480","32H"
1281,"HORVU.MOREX.r2.4HG0283660","32H"
1282,"HORVU.MOREX.r2.5HG0408520","32H"
1283,"HORVU.MOREX.r2.4HG0288400","32H"
1284,"HORVU.MOREX.r2.5HG0402390","32H"
1285,"HORVU.MOREX.r2.3HG0212670","32H"
1286,"HORVU.MOREX.r2.5HG0404770","32H"
1287,"HORVU.MOREX.r2.5HG0370050","32H"
1288,"HORVU.MOREX.r2.3HG0205500","32H"
1289,"HORVU.MOREX.r2.2HG0108460","32H"
1290,"HORVU.MOREX.r2.6HG0520690","32H"
1291,"HORVU.MOREX.r2.6HG0519400","32H"
1292,"HORVU.MOREX.r2.4HG0326690","32H"
1293,"HORVU.MOREX.r2.7HG0566110","32H"
1294,"HORVU.MOREX.r2.1HG0055660","32H"
1295,"HORVU.MOREX.r2.3HG0245850","32H"
1296,"HORVU.MOREX.r2.6HG0511770","32H"
1297,"HORVU.MOREX.r2.2HG0147250","32H"
1298,"HORVU.MOREX.r2.6HG0506500","32H"
1299,"HORVU.MOREX.r2.6HG0477260","32H"
1300,"HORVU.MOREX.r2.1HG0075440","32H"
1301,"HORVU.MOREX.r2.1HG0015080","32H"
1302,"HORVU.MOREX.r2.2HG0105790","32H"
1303,"HORVU.MOREX.r2.5HG0367850","32H"
1304,"HORVU.MOREX.r2.5HG0367920","32H"
1305,"HORVU.MOREX.r2.7HG0602800","32H"
1306,"HORVU.MOREX.r2.2HG0131360","32H"
1307,"HORVU.MOREX.r2.1HG0038110","32H"
1308,"HORVU.MOREX.r2.1HG0002180","32H"
1309,"HORVU.MOREX.r2.4HG0322120","32H"
1310,"HORVU.MOREX.r2.1HG0051860","32H"
1311,"HORVU.MOREX.r2.7HG0596970","32H"
1312,"HORVU.MOREX.r2.2HG0166450","32H"
1313,"HORVU.MOREX.r2.1HG0042350","32H"
1314,"HORVU.MOREX.r2.7HG0537160","32H"
1315,"HORVU.MOREX.r2.7HG0554850","32H"
1316,"HORVU.MOREX.r2.1HG0011090","32H"
1317,"HORVU.MOREX.r2.6HG0511230","32H"
1318,"HORVU.MOREX.r2.1HG0071060","32H"
1319,"HORVU.MOREX.r2.7HG0583800","32H"
1320,"HORVU.MOREX.r2.3HG0191880","32H"
1321,"HORVU.MOREX.r2.3HG0214490","32H"
1322,"HORVU.MOREX.r2.3HG0214280","32H"
1323,"HORVU.MOREX.r2.1HG0019760","32H"
1324,"HORVU.MOREX.r2.2HG0160030","32H"
1325,"HORVU.MOREX.r2.5HG0389750","32H"
1326,"HORVU.MOREX.r2.4HG0325390","32H"
1327,"HORVU.MOREX.r2.6HG0477040","32H"
1328,"HORVU.MOREX.r2.3HG0226490","32H"
1329,"HORVU.MOREX.r2.3HG0220940","32H"
1330,"HORVU.MOREX.r2.1HG0034160","32H"
1331,"HORVU.MOREX.r2.4HG0323740","32H"
1332,"HORVU.MOREX.r2.3HG0245980","32H"
1333,"HORVU.MOREX.r2.3HG0191540","32H"
1334,"HORVU.MOREX.r2.3HG0186570","32H"
1335,"HORVU.MOREX.r2.2HG0079570","32H"
1336,"HORVU.MOREX.r2.6HG0458680","32H"
1337,"HORVU.MOREX.r2.2HG0098650","32H"
1338,"HORVU.MOREX.r2.3HG0216600","32H"
1339,"HORVU.MOREX.r2.1HG0046460","32H"
1340,"HORVU.MOREX.r2.6HG0472520","32H"
1341,"HORVU.MOREX.r2.3HG0220590","32H"
1342,"HORVU.MOREX.r2.2HG0101710","32H"
1343,"HORVU.MOREX.r2.6HG0519290","32H"
1344,"HORVU.MOREX.r2.6HG0471630","32H"
1345,"HORVU.MOREX.r2.2HG0109070","32H"
1346,"HORVU.MOREX.r2.3HG0228420","32H"
1347,"HORVU.MOREX.r2.5HG0377030","32H"
1348,"HORVU.MOREX.r2.7HG0575700","32H"
1349,"HORVU.MOREX.r2.4HG0342100","32H"
1350,"HORVU.MOREX.r2.1HG0053690","32H"
1351,"HORVU.MOREX.r2.3HG0206050","32H"
1352,"HORVU.MOREX.r2.4HG0309820","32H"
1353,"HORVU.MOREX.r2.3HG0192390","32H"
1354,"HORVU.MOREX.r2.4HG0287210","32H"
1355,"HORVU.MOREX.r2.5HG0434250","32H"
1356,"HORVU.MOREX.r2.2HG0123640","32H"
1357,"HORVU.MOREX.r2.3HG0267750","32H"
1358,"HORVU.MOREX.r2.5HG0440740","32H"
1359,"HORVU.MOREX.r2.2HG0177520","32H"
1360,"HORVU.MOREX.r2.5HG0439210","32H"
1361,"HORVU.MOREX.r2.6HG0497230","32H"
1362,"HORVU.MOREX.r2.3HG0213340","32H"
1363,"HORVU.MOREX.r2.4HG0289850","32H"
1364,"HORVU.MOREX.r2.1HG0059750","32H"
1365,"HORVU.MOREX.r2.6HG0520040","32H"
1366,"HORVU.MOREX.r2.2HG0152440","32H"
1367,"HORVU.MOREX.r2.7HG0564870","32H"
1368,"HORVU.MOREX.r2.7HG0562200","32H"
1369,"HORVU.MOREX.r2.5HG0409440","32H"
1370,"HORVU.MOREX.r2.5HG0433200","32H"
1371,"HORVU.MOREX.r2.7HG0535070","32H"
1372,"HORVU.MOREX.r2.7HG0592950","32H"
1373,"HORVU.MOREX.r2.5HG0354210","32H"
1374,"HORVU.MOREX.r2.2HG0153500","32H"
1375,"HORVU.MOREX.r2.1HG0026900","32H"
1376,"HORVU.MOREX.r2.2HG0168420","32H"
1377,"HORVU.MOREX.r2.6HG0489990","32H"
1378,"HORVU.MOREX.r2.5HG0386390","32H"
1379,"HORVU.MOREX.r2.5HG0424190","32H"
1380,"HORVU.MOREX.r2.6HG0514200","32H"
1381,"HORVU.MOREX.r2.6HG0503500","32H"
1382,"HORVU.MOREX.r2.1HG0004810","32H"
1383,"HORVU.MOREX.r2.6HG0488210","32H"
1384,"HORVU.MOREX.r2.UnG0630370","32H"
1385,"HORVU.MOREX.r2.4HG0278230","32H"
1386,"HORVU.MOREX.r2.7HG0592480","32H"
1387,"HORVU.MOREX.r2.6HG0459300","32H"
1388,"HORVU.MOREX.r2.3HG0214390","32H"
1389,"HORVU.MOREX.r2.1HG0076570","32H"
1390,"HORVU.MOREX.r2.5HG0367710","32H"
1391,"HORVU.MOREX.r2.7HG0621710","32H"
1392,"HORVU.MOREX.r2.6HG0504800","32H"
1393,"HORVU.MOREX.r2.5HG0413420","32H"
1394,"HORVU.MOREX.r2.4HG0325400","32H"
1395,"HORVU.MOREX.r2.1HG0042330","32H"
1396,"HORVU.MOREX.r2.1HG0031510","32H"
1397,"HORVU.MOREX.r2.2HG0140860","32H"
1398,"HORVU.MOREX.r2.3HG0217370","32H"
1399,"HORVU.MOREX.r2.5HG0435590","32H"
1400,"HORVU.MOREX.r2.2HG0092990","32H"
1401,"HORVU.MOREX.r2.4HG0323570","32H"
1402,"HORVU.MOREX.r2.4HG0323600","32H"
1403,"HORVU.MOREX.r2.4HG0322390","32H"
1404,"HORVU.MOREX.r2.5HG0385600","32H"
1405,"HORVU.MOREX.r2.6HG0524950","32H"
1406,"HORVU.MOREX.r2.3HG0232520","32H"
1407,"HORVU.MOREX.r2.7HG0607190","32H"
1408,"HORVU.MOREX.r2.4HG0278670","32H"
1409,"HORVU.MOREX.r2.5HG0434440","32H"
1410,"HORVU.MOREX.r2.1HG0063050","32H"
1411,"HORVU.MOREX.r2.4HG0347860","32H"
1412,"HORVU.MOREX.r2.1HG0060440","32H"
1413,"HORVU.MOREX.r2.2HG0143940","32H"
1414,"HORVU.MOREX.r2.3HG0210420","32H"
1415,"HORVU.MOREX.r2.1HG0047000","32H"
1416,"HORVU.MOREX.r2.7HG0559690","32H"
1417,"HORVU.MOREX.r2.5HG0368530","32H"
1418,"HORVU.MOREX.r2.7HG0574220","32H"
1419,"HORVU.MOREX.r2.6HG0505220","32H"
1420,"HORVU.MOREX.r2.2HG0097010","32H"
1421,"HORVU.MOREX.r2.4HG0318960","32H"
1422,"HORVU.MOREX.r2.5HG0419190","32H"
1423,"HORVU.MOREX.r2.5HG0390750","32H"
1424,"HORVU.MOREX.r2.6HG0473120","32H"
1425,"HORVU.MOREX.r2.6HG0506580","32H"
1426,"HORVU.MOREX.r2.4HG0326980","32H"
1427,"HORVU.MOREX.r2.6HG0521040","32H"
1428,"HORVU.MOREX.r2.2HG0142970","32H"
1429,"HORVU.MOREX.r2.5HG0419570","32H"
1430,"HORVU.MOREX.r2.6HG0459760","32H"
1431,"HORVU.MOREX.r2.5HG0439660","32H"
1432,"HORVU.MOREX.r2.3HG0267290","32H"
1433,"HORVU.MOREX.r2.1HG0026810","32H"
1434,"HORVU.MOREX.r2.7HG0597050","32H"
1435,"HORVU.MOREX.r2.2HG0169770","32H"
1436,"HORVU.MOREX.r2.6HG0523080","32H"
1437,"HORVU.MOREX.r2.4HG0288510","32H"
1438,"HORVU.MOREX.r2.4HG0318380","32H"
1439,"HORVU.MOREX.r2.4HG0320920","32H"
1440,"HORVU.MOREX.r2.7HG0596670","32H"
1441,"HORVU.MOREX.r2.1HG0077030","32H"
1442,"HORVU.MOREX.r2.3HG0194740","32H"
1443,"HORVU.MOREX.r2.6HG0473350","32H"
1444,"HORVU.MOREX.r2.5HG0439630","32H"
1445,"HORVU.MOREX.r2.4HG0315210","32H"
1446,"HORVU.MOREX.r2.7HG0588970","32H"
1447,"HORVU.MOREX.r2.5HG0419720","32H"
1448,"HORVU.MOREX.r2.5HG0415590","32H"
1449,"HORVU.MOREX.r2.6HG0475110","32H"
1450,"HORVU.MOREX.r2.4HG0337810","32H"
1451,"HORVU.MOREX.r2.7HG0580400","32H"
1452,"HORVU.MOREX.r2.2HG0126650","32H"
1453,"HORVU.MOREX.r2.2HG0166760","32H"
1454,"HORVU.MOREX.r2.1HG0061210","32H"
1455,"HORVU.MOREX.r2.4HG0335530","32H"
1456,"HORVU.MOREX.r2.2HG0143070","32H"
1457,"HORVU.MOREX.r2.7HG0572250","32H"
1458,"HORVU.MOREX.r2.3HG0235390","32H"
1459,"HORVU.MOREX.r2.7HG0619420","32H"
1460,"HORVU.MOREX.r2.1HG0073410","32H"
1461,"HORVU.MOREX.r2.3HG0196310","32H"
1462,"HORVU.MOREX.r2.3HG0200290","32H"
1463,"HORVU.MOREX.r2.6HG0491740","32H"
1464,"HORVU.MOREX.r2.2HG0177050","32H"
1465,"HORVU.MOREX.r2.2HG0099720","32H"
1466,"HORVU.MOREX.r2.4HG0281070","32H"
1467,"HORVU.MOREX.r2.7HG0597120","32H"
1468,"HORVU.MOREX.r2.3HG0192150","32H"
1469,"HORVU.MOREX.r2.4HG0312490","32H"
1470,"HORVU.MOREX.r2.6HG0510880","32H"
1471,"HORVU.MOREX.r2.1HG0045820","32H"
1472,"HORVU.MOREX.r2.7HG0602630","32H"
1473,"HORVU.MOREX.r2.4HG0315180","32H"
1474,"HORVU.MOREX.r2.4HG0328370","32H"
1475,"HORVU.MOREX.r2.2HG0143700","32H"
1476,"HORVU.MOREX.r2.7HG0560280","32H"
1477,"HORVU.MOREX.r2.1HG0056190","32H"
1478,"HORVU.MOREX.r2.5HG0358170","32H"
1479,"HORVU.MOREX.r2.1HG0040550","32H"
1480,"HORVU.MOREX.r2.5HG0374850","32H"
1481,"HORVU.MOREX.r2.5HG0396070","32H"
1482,"HORVU.MOREX.r2.4HG0331780","32H"
1483,"HORVU.MOREX.r2.2HG0107440","32H"
1484,"HORVU.MOREX.r2.3HG0199680","32H"
1485,"HORVU.MOREX.r2.4HG0334150","32H"
1486,"HORVU.MOREX.r2.3HG0188870","32H"
1487,"HORVU.MOREX.r2.4HG0342490","32H"
1488,"HORVU.MOREX.r2.2HG0142760","32H"
1489,"HORVU.MOREX.r2.3HG0197060","32H"
1490,"HORVU.MOREX.r2.2HG0160590","32H"
1491,"HORVU.MOREX.r2.6HG0457730","32H"
1492,"HORVU.MOREX.r2.5HG0432550","32H"
1493,"HORVU.MOREX.r2.4HG0280240","32H"
1494,"HORVU.MOREX.r2.3HG0260740","32H"
1495,"HORVU.MOREX.r2.1HG0031000","32H"
1496,"HORVU.MOREX.r2.7HG0581610","32H"
1497,"HORVU.MOREX.r2.1HG0039750","32H"
1498,"HORVU.MOREX.r2.6HG0473130","32H"
1499,"HORVU.MOREX.r2.5HG0401500","32H"
1500,"HORVU.MOREX.r2.5HG0381410","32H"
1501,"HORVU.MOREX.r2.1HG0030460","32H"
1502,"HORVU.MOREX.r2.3HG0270810","32H"
1503,"HORVU.MOREX.r2.2HG0139350","32H"
1504,"HORVU.MOREX.r2.3HG0203570","32H"
1505,"HORVU.MOREX.r2.1HG0040480","32H"
1506,"HORVU.MOREX.r2.4HG0339820","32H"
1507,"HORVU.MOREX.r2.6HG0521860","32H"
1508,"HORVU.MOREX.r2.7HG0586800","32H"
1509,"HORVU.MOREX.r2.1HG0068790","32H"
1510,"HORVU.MOREX.r2.2HG0102120","32H"
1511,"HORVU.MOREX.r2.1HG0061200","32H"
1512,"HORVU.MOREX.r2.3HG0221330","32H"
1513,"HORVU.MOREX.r2.2HG0135950","32H"
1514,"HORVU.MOREX.r2.5HG0428240","32H"
1515,"HORVU.MOREX.r2.5HG0407080","32H"
1516,"HORVU.MOREX.r2.6HG0483020","32H"
1517,"HORVU.MOREX.r2.6HG0461030","32H"
1518,"HORVU.MOREX.r2.4HG0318250","32H"
1519,"HORVU.MOREX.r2.3HG0268740","32H"
1520,"HORVU.MOREX.r2.2HG0145770","32H"
1521,"HORVU.MOREX.r2.3HG0228650","32H"
1522,"HORVU.MOREX.r2.5HG0404130","32H"
1523,"HORVU.MOREX.r2.6HG0476710","32H"
1524,"HORVU.MOREX.r2.7HG0573800","32H"
1525,"HORVU.MOREX.r2.7HG0570310","32H"
1526,"HORVU.MOREX.r2.2HG0159750","32H"
1527,"HORVU.MOREX.r2.2HG0104920","32H"
1528,"HORVU.MOREX.r2.1HG0041280","32H"
1529,"HORVU.MOREX.r2.4HG0336720","32H"
